cmb_cat,cmb_nutr,cmb_func,cmb_pill
ap,di,04,00001
ap,di,04,00002
ap,di,04,00003
vm,an,07,00004
vm,an,04,00004
vm,ae,07,00004
vm,ae,04,00004
vm,aa,07,00004
vm,aa,04,00004
vm,ak,07,00004
vm,ak,04,00004
ap,di,04,00005
ap,di,04,00006
ap,am,04,00006
ap,ae,04,00006
ap,aa,04,00006
ap,ar,04,00006
ap,ak,04,00006
vm,di,04,00006
vm,am,04,00006
vm,ae,04,00006
vm,aa,04,00006
vm,ar,04,00006
vm,ak,04,00006
ap,di,04,00007
ap,ao,04,00007
vm,di,04,00007
vm,ao,04,00007
ap,di,04,00008
ap,bm,04,00008
ap,ae,04,00008
ap,ao,04,00008
ap,aq,04,00008
ph,di,04,00008
ph,bm,04,00008
ph,ae,04,00008
ph,ao,04,00008
ph,aq,04,00008
vm,di,04,00008
vm,bm,04,00008
vm,ae,04,00008
vm,ao,04,00008
vm,aq,04,00008
ap,di,04,00009
ap,di,01,00009
ap,di,07,00010
ap,di,04,00010
ap,an,07,00010
ap,an,04,00010
ap,ae,07,00010
ap,ae,04,00010
ap,ak,07,00010
ap,ak,04,00010
vm,di,07,00010
vm,di,04,00010
vm,an,07,00010
vm,an,04,00010
vm,ae,07,00010
vm,ae,04,00010
vm,ak,07,00010
vm,ak,04,00010
ap,di,05,00011
ap,di,01,00012
ap,di,01,00013
ap,dq,01,00013
ap,cu,01,00013
nf,di,01,00013
nf,dq,01,00013
nf,cu,01,00013
ap,di,04,00014
ap,di,04,00015
ap,bm,04,00015
ph,di,04,00015
ph,bm,04,00015
ap,di,22,00016
ap,di,01,00016
ap,aa,22,00016
ap,aa,01,00016
ap,ad,22,00016
ap,ad,01,00016
ap,ap,22,00016
ap,ap,01,00016
ap,cu,22,00016
ap,cu,01,00016
ap,ar,22,00016
ap,ar,01,00016
ap,af,22,00016
ap,af,01,00016
ap,bd,22,00016
ap,bd,01,00016
vm,di,22,00016
vm,di,01,00016
vm,aa,22,00016
vm,aa,01,00016
vm,ad,22,00016
vm,ad,01,00016
vm,ap,22,00016
vm,ap,01,00016
vm,cu,22,00016
vm,cu,01,00016
vm,ar,22,00016
vm,ar,01,00016
vm,af,22,00016
vm,af,01,00016
vm,bd,22,00016
vm,bd,01,00016
ap,di,07,00017
ap,di,04,00017
ap,ab,07,00017
ap,ab,04,00017
vm,di,07,00017
vm,di,04,00017
vm,ab,07,00017
vm,ab,04,00017
ap,di,04,00018
ap,di,04,00019
ap,di,01,00019
ap,di,04,00020
ap,ak,04,00020
vm,di,04,00020
vm,ak,04,00020
ap,di,04,00021
ap,di,18,00022
ap,bm,18,00022
ap,bc,18,00022
ap,be,18,00022
ap,aa,18,00022
ap,ap,18,00022
ap,af,18,00022
ap,cd,18,00022
ap,bd,18,00022
ap,ak,18,00022
ap,dl,18,00022
ap,cy,18,00022
fs,di,18,00022
fs,bm,18,00022
fs,bc,18,00022
fs,be,18,00022
fs,aa,18,00022
fs,ap,18,00022
fs,af,18,00022
fs,cd,18,00022
fs,bd,18,00022
fs,ak,18,00022
fs,dl,18,00022
fs,cy,18,00022
nf,di,18,00022
nf,bm,18,00022
nf,bc,18,00022
nf,be,18,00022
nf,aa,18,00022
nf,ap,18,00022
nf,af,18,00022
nf,cd,18,00022
nf,bd,18,00022
nf,ak,18,00022
nf,dl,18,00022
nf,cy,18,00022
ph,di,18,00022
ph,bm,18,00022
ph,bc,18,00022
ph,be,18,00022
ph,aa,18,00022
ph,ap,18,00022
ph,af,18,00022
ph,cd,18,00022
ph,bd,18,00022
ph,ak,18,00022
ph,dl,18,00022
ph,cy,18,00022
vm,di,18,00022
vm,bm,18,00022
vm,bc,18,00022
vm,be,18,00022
vm,aa,18,00022
vm,ap,18,00022
vm,af,18,00022
vm,cd,18,00022
vm,bd,18,00022
vm,ak,18,00022
vm,dl,18,00022
vm,cy,18,00022
ap,di,04,00023
ap,ak,04,00023
vm,di,04,00023
vm,ak,04,00023
ap,di,04,00024
ap,di,04,00025
ap,di,07,00026
ap,di,04,00026
ap,di,01,00026
ap,di,19,00026
ap,al,07,00026
ap,al,04,00026
ap,al,01,00026
ap,al,19,00026
ap,ae,07,00026
ap,ae,04,00026
ap,ae,01,00026
ap,ae,19,00026
ap,ap,07,00026
ap,ap,04,00026
ap,ap,01,00026
ap,ap,19,00026
vm,di,07,00026
vm,di,04,00026
vm,di,01,00026
vm,di,19,00026
vm,al,07,00026
vm,al,04,00026
vm,al,01,00026
vm,al,19,00026
vm,ae,07,00026
vm,ae,04,00026
vm,ae,01,00026
vm,ae,19,00026
vm,ap,07,00026
vm,ap,04,00026
vm,ap,01,00026
vm,ap,19,00026
ap,di,08,00027
ap,di,04,00027
ap,ae,08,00027
ap,ae,04,00027
ap,cu,08,00027
ap,cu,04,00027
ap,aq,08,00027
ap,aq,04,00027
vm,di,08,00027
vm,di,04,00027
vm,ae,08,00027
vm,ae,04,00027
vm,cu,08,00027
vm,cu,04,00027
vm,aq,08,00027
vm,aq,04,00027
ap,di,04,00028
ap,ai,04,00028
ap,ak,04,00028
vm,di,04,00028
vm,ai,04,00028
vm,ak,04,00028
ap,di,04,00029
ap,di,04,00030
ap,di,01,00030
ap,am,04,00030
ap,am,01,00030
ap,ak,04,00030
ap,ak,01,00030
vm,di,04,00030
vm,di,01,00030
vm,am,04,00030
vm,am,01,00030
vm,ak,04,00030
vm,ak,01,00030
ap,di,17,00031
ap,di,05,00031
ap,cu,17,00031
ap,cu,05,00031
ap,di,04,00032
ap,bm,04,00032
ap,ae,04,00032
ap,af,04,00032
ap,av,04,00032
ap,dh,04,00032
nf,di,04,00032
nf,bm,04,00032
nf,ae,04,00032
nf,af,04,00032
nf,av,04,00032
nf,dh,04,00032
ph,di,04,00032
ph,bm,04,00032
ph,ae,04,00032
ph,af,04,00032
ph,av,04,00032
ph,dh,04,00032
vm,di,04,00032
vm,bm,04,00032
vm,ae,04,00032
vm,af,04,00032
vm,av,04,00032
vm,dh,04,00032
ap,di,17,00033
ap,an,17,00033
ap,bm,17,00033
ap,dh,17,00033
nf,di,17,00033
nf,an,17,00033
nf,bm,17,00033
nf,dh,17,00033
ph,di,17,00033
ph,an,17,00033
ph,bm,17,00033
ph,dh,17,00033
vm,di,17,00033
vm,an,17,00033
vm,bm,17,00033
vm,dh,17,00033
ap,di,17,00034
ap,di,04,00035
ap,di,04,00036
ap,di,17,00037
ap,di,04,00037
ap,bm,17,00037
ap,bm,04,00037
ph,di,17,00037
ph,di,04,00037
ph,bm,17,00037
ph,bm,04,00037
ap,di,01,00038
ap,ai,01,00038
vm,di,01,00038
vm,ai,01,00038
ap,di,01,00039
ap,dq,01,00039
ap,ar,01,00039
nf,di,01,00039
nf,dq,01,00039
nf,ar,01,00039
vm,di,01,00039
vm,dq,01,00039
vm,ar,01,00039
ap,di,04,00040
ap,di,04,00041
ap,ai,04,00041
vm,di,04,00041
vm,ai,04,00041
ap,di,04,00042
ap,di,04,00043
ap,di,04,00044
ap,cm,04,00044
ap,aa,04,00044
ap,at,04,00044
ap,ak,04,00044
nf,di,04,00044
nf,cm,04,00044
nf,aa,04,00044
nf,at,04,00044
nf,ak,04,00044
vm,di,04,00044
vm,cm,04,00044
vm,aa,04,00044
vm,at,04,00044
vm,ak,04,00044
ap,di,17,00045
ap,di,04,00045
ap,di,10,00045
ap,di,12,00046
ap,di,04,00046
ap,di,04,00047
ap,di,04,00048
ap,ak,04,00048
vm,di,04,00048
vm,ak,04,00048
ap,di,04,00049
ap,di,04,00050
ap,di,01,00050
ap,am,04,00050
ap,am,01,00050
vm,di,04,00050
vm,di,01,00050
vm,am,04,00050
vm,am,01,00050
ap,di,17,00051
ap,di,01,00051
ap,cu,17,00051
ap,cu,01,00051
ap,di,04,00052
ap,bk,04,00052
fs,di,04,00052
fs,bk,04,00052
ap,di,04,00053
ap,cm,04,00053
ap,bm,04,00053
ap,cu,04,00053
nf,di,04,00053
nf,cm,04,00053
nf,bm,04,00053
nf,cu,04,00053
ph,di,04,00053
ph,cm,04,00053
ph,bm,04,00053
ph,cu,04,00053
ap,di,12,00054
ap,di,16,00054
ap,bd,12,00054
ap,bd,16,00054
ap,ak,12,00054
ap,ak,16,00054
vm,di,12,00054
vm,di,16,00054
vm,bd,12,00054
vm,bd,16,00054
vm,ak,12,00054
vm,ak,16,00054
ap,di,04,00055
ap,di,04,00056
ap,di,17,00057
ap,di,04,00057
ap,di,04,00058
ap,di,17,00059
ap,di,04,00059
ap,di,17,00060
ap,cm,17,00060
ap,aa,17,00060
ap,av,17,00060
ap,at,17,00060
ap,ao,17,00060
nf,di,17,00060
nf,cm,17,00060
nf,aa,17,00060
nf,av,17,00060
nf,at,17,00060
nf,ao,17,00060
vm,di,17,00060
vm,cm,17,00060
vm,aa,17,00060
vm,av,17,00060
vm,at,17,00060
vm,ao,17,00060
ap,di,04,00061
ap,di,04,00062
ap,di,01,00063
ap,cu,01,00063
ap,di,17,00064
ap,cu,17,00064
ap,ar,17,00064
vm,di,17,00064
vm,cu,17,00064
vm,ar,17,00064
ap,di,04,00065
ap,di,17,00066
ap,cu,17,00066
ap,ar,17,00066
vm,di,17,00066
vm,cu,17,00066
vm,ar,17,00066
ap,di,04,00067
ap,bb,04,00067
ap,an,04,00067
ap,bm,04,00067
ap,ae,04,00067
ap,av,04,00067
ap,ao,04,00067
ap,dh,04,00067
ap,aq,04,00067
ap,ak,04,00067
nf,di,04,00067
nf,bb,04,00067
nf,an,04,00067
nf,bm,04,00067
nf,ae,04,00067
nf,av,04,00067
nf,ao,04,00067
nf,dh,04,00067
nf,aq,04,00067
nf,ak,04,00067
ph,di,04,00067
ph,bb,04,00067
ph,an,04,00067
ph,bm,04,00067
ph,ae,04,00067
ph,av,04,00067
ph,ao,04,00067
ph,dh,04,00067
ph,aq,04,00067
ph,ak,04,00067
vm,di,04,00067
vm,bb,04,00067
vm,an,04,00067
vm,bm,04,00067
vm,ae,04,00067
vm,av,04,00067
vm,ao,04,00067
vm,dh,04,00067
vm,aq,04,00067
vm,ak,04,00067
ap,di,01,00068
ap,cu,01,00068
ap,di,01,00069
ap,an,01,00069
ap,al,01,00069
ap,ae,01,00069
vm,di,01,00069
vm,an,01,00069
vm,al,01,00069
vm,ae,01,00069
ap,di,17,00070
ap,cm,17,00070
ap,cw,17,00070
nf,di,17,00070
nf,cm,17,00070
nf,cw,17,00070
ap,di,17,00071
ap,di,06,00072
ap,di,01,00072
ap,ai,06,00072
ap,ai,01,00072
ap,al,06,00072
ap,al,01,00072
ap,ae,06,00072
ap,ae,01,00072
vm,di,06,00072
vm,di,01,00072
vm,ai,06,00072
vm,ai,01,00072
vm,al,06,00072
vm,al,01,00072
vm,ae,06,00072
vm,ae,01,00072
ap,di,17,00073
ap,ay,17,00073
ap,an,17,00073
ap,be,17,00073
ap,as,17,00073
ap,da,17,00073
ap,bq,17,00073
ap,am,17,00073
ap,ac,17,00073
ap,ab,17,00073
ap,ai,17,00073
ap,al,17,00073
ap,ae,17,00073
ap,aa,17,00073
ap,ad,17,00073
ap,ah,17,00073
ap,ap,17,00073
ap,cu,17,00073
ap,ar,17,00073
ap,af,17,00073
ap,av,17,00073
ap,dn,17,00073
ap,at,17,00073
ap,ao,17,00073
ap,bd,17,00073
ap,aq,17,00073
ap,ak,17,00073
nf,di,17,00073
nf,ay,17,00073
nf,an,17,00073
nf,be,17,00073
nf,as,17,00073
nf,da,17,00073
nf,bq,17,00073
nf,am,17,00073
nf,ac,17,00073
nf,ab,17,00073
nf,ai,17,00073
nf,al,17,00073
nf,ae,17,00073
nf,aa,17,00073
nf,ad,17,00073
nf,ah,17,00073
nf,ap,17,00073
nf,cu,17,00073
nf,ar,17,00073
nf,af,17,00073
nf,av,17,00073
nf,dn,17,00073
nf,at,17,00073
nf,ao,17,00073
nf,bd,17,00073
nf,aq,17,00073
nf,ak,17,00073
vm,di,17,00073
vm,ay,17,00073
vm,an,17,00073
vm,be,17,00073
vm,as,17,00073
vm,da,17,00073
vm,bq,17,00073
vm,am,17,00073
vm,ac,17,00073
vm,ab,17,00073
vm,ai,17,00073
vm,al,17,00073
vm,ae,17,00073
vm,aa,17,00073
vm,ad,17,00073
vm,ah,17,00073
vm,ap,17,00073
vm,cu,17,00073
vm,ar,17,00073
vm,af,17,00073
vm,av,17,00073
vm,dn,17,00073
vm,at,17,00073
vm,ao,17,00073
vm,bd,17,00073
vm,aq,17,00073
vm,ak,17,00073
ap,di,01,00074
ap,cu,01,00074
ap,di,07,00075
ap,di,04,00075
ap,bm,07,00075
ap,bm,04,00075
ap,al,07,00075
ap,al,04,00075
ap,ae,07,00075
ap,ae,04,00075
ap,ad,07,00075
ap,ad,04,00075
ap,ck,07,00075
ap,ck,04,00075
ap,ak,07,00075
ap,ak,04,00075
ph,di,07,00075
ph,di,04,00075
ph,bm,07,00075
ph,bm,04,00075
ph,al,07,00075
ph,al,04,00075
ph,ae,07,00075
ph,ae,04,00075
ph,ad,07,00075
ph,ad,04,00075
ph,ck,07,00075
ph,ck,04,00075
ph,ak,07,00075
ph,ak,04,00075
vm,di,07,00075
vm,di,04,00075
vm,bm,07,00075
vm,bm,04,00075
vm,al,07,00075
vm,al,04,00075
vm,ae,07,00075
vm,ae,04,00075
vm,ad,07,00075
vm,ad,04,00075
vm,ck,07,00075
vm,ck,04,00075
vm,ak,07,00075
vm,ak,04,00075
ap,di,08,00076
ap,an,08,00076
ap,as,08,00076
ap,am,08,00076
ap,ab,08,00076
ap,ai,08,00076
ap,ae,08,00076
ap,aa,08,00076
ap,ah,08,00076
ap,ap,08,00076
ap,ar,08,00076
ap,cd,08,00076
nf,di,08,00076
nf,an,08,00076
nf,as,08,00076
nf,am,08,00076
nf,ab,08,00076
nf,ai,08,00076
nf,ae,08,00076
nf,aa,08,00076
nf,ah,08,00076
nf,ap,08,00076
nf,ar,08,00076
nf,cd,08,00076
vm,di,08,00076
vm,an,08,00076
vm,as,08,00076
vm,am,08,00076
vm,ab,08,00076
vm,ai,08,00076
vm,ae,08,00076
vm,aa,08,00076
vm,ah,08,00076
vm,ap,08,00076
vm,ar,08,00076
vm,cd,08,00076
ap,di,17,00077
ap,an,17,00077
ap,bm,17,00077
ap,as,17,00077
ap,ab,17,00077
ap,ai,17,00077
ap,al,17,00077
ap,ae,17,00077
ap,af,17,00077
ap,av,17,00077
ap,ca,17,00077
ap,bd,17,00077
ap,aq,17,00077
ap,ak,17,00077
ap,do,17,00077
gr,di,17,00077
gr,an,17,00077
gr,bm,17,00077
gr,as,17,00077
gr,ab,17,00077
gr,ai,17,00077
gr,al,17,00077
gr,ae,17,00077
gr,af,17,00077
gr,av,17,00077
gr,ca,17,00077
gr,bd,17,00077
gr,aq,17,00077
gr,ak,17,00077
gr,do,17,00077
ph,di,17,00077
ph,an,17,00077
ph,bm,17,00077
ph,as,17,00077
ph,ab,17,00077
ph,ai,17,00077
ph,al,17,00077
ph,ae,17,00077
ph,af,17,00077
ph,av,17,00077
ph,ca,17,00077
ph,bd,17,00077
ph,aq,17,00077
ph,ak,17,00077
ph,do,17,00077
vm,di,17,00077
vm,an,17,00077
vm,bm,17,00077
vm,as,17,00077
vm,ab,17,00077
vm,ai,17,00077
vm,al,17,00077
vm,ae,17,00077
vm,af,17,00077
vm,av,17,00077
vm,ca,17,00077
vm,bd,17,00077
vm,aq,17,00077
vm,ak,17,00077
vm,do,17,00077
ap,di,17,00078
ap,cu,17,00078
ap,dn,17,00078
ap,di,17,00079
ap,di,01,00079
ap,cu,17,00079
ap,cu,01,00079
ap,di,07,00080
ap,di,04,00080
ap,di,17,00081
ap,cu,17,00081
ap,di,01,00082
ap,cu,01,00082
ap,di,01,00083
ap,dy,01,00083
ap,cu,01,00083
ap,dj,01,00083
nf,di,01,00083
nf,dy,01,00083
nf,cu,01,00083
nf,dj,01,00083
ap,di,17,00084
ap,di,12,00084
ap,di,16,00084
ap,as,17,00084
ap,as,12,00084
ap,as,16,00084
ap,bd,17,00084
ap,bd,12,00084
ap,bd,16,00084
vm,di,17,00084
vm,di,12,00084
vm,di,16,00084
vm,as,17,00084
vm,as,12,00084
vm,as,16,00084
vm,bd,17,00084
vm,bd,12,00084
vm,bd,16,00084
ap,di,01,00085
ap,bc,01,00085
ap,al,01,00085
ap,aa,01,00085
ap,cu,01,00085
fs,di,01,00085
fs,bc,01,00085
fs,al,01,00085
fs,aa,01,00085
fs,cu,01,00085
vm,di,01,00085
vm,bc,01,00085
vm,al,01,00085
vm,aa,01,00085
vm,cu,01,00085
ap,di,04,00086
ap,aw,04,00086
ap,ak,04,00086
vm,di,04,00086
vm,aw,04,00086
vm,ak,04,00086
ap,di,01,00087
ap,cu,01,00087
ap,di,18,00088
ap,di,04,00089
ap,di,03,00090
ap,ay,03,00090
ap,an,03,00090
ap,am,03,00090
ap,ac,03,00090
ap,ae,03,00090
ap,ap,03,00090
ap,ar,03,00090
ap,aq,03,00090
ap,ak,03,00090
vm,di,03,00090
vm,ay,03,00090
vm,an,03,00090
vm,am,03,00090
vm,ac,03,00090
vm,ae,03,00090
vm,ap,03,00090
vm,ar,03,00090
vm,aq,03,00090
vm,ak,03,00090
ap,di,22,00091
ap,ai,22,00091
ap,ae,22,00091
ap,ap,22,00091
ap,cu,22,00091
vm,di,22,00091
vm,ai,22,00091
vm,ae,22,00091
vm,ap,22,00091
vm,cu,22,00091
ap,di,22,00092
ap,de,22,00092
ap,cx,22,00092
ap,bc,22,00092
ap,as,22,00092
ap,aw,22,00092
ap,aj,22,00092
ap,am,22,00092
ap,ac,22,00092
ap,ab,22,00092
ap,ai,22,00092
ap,aa,22,00092
ap,ad,22,00092
ap,ah,22,00092
ap,ap,22,00092
ap,af,22,00092
ap,az,22,00092
ap,av,22,00092
ap,au,22,00092
ap,at,22,00092
ap,ao,22,00092
ap,ak,22,00092
ap,cy,22,00092
fs,di,22,00092
fs,de,22,00092
fs,cx,22,00092
fs,bc,22,00092
fs,as,22,00092
fs,aw,22,00092
fs,aj,22,00092
fs,am,22,00092
fs,ac,22,00092
fs,ab,22,00092
fs,ai,22,00092
fs,aa,22,00092
fs,ad,22,00092
fs,ah,22,00092
fs,ap,22,00092
fs,af,22,00092
fs,az,22,00092
fs,av,22,00092
fs,au,22,00092
fs,at,22,00092
fs,ao,22,00092
fs,ak,22,00092
fs,cy,22,00092
nf,di,22,00092
nf,de,22,00092
nf,cx,22,00092
nf,bc,22,00092
nf,as,22,00092
nf,aw,22,00092
nf,aj,22,00092
nf,am,22,00092
nf,ac,22,00092
nf,ab,22,00092
nf,ai,22,00092
nf,aa,22,00092
nf,ad,22,00092
nf,ah,22,00092
nf,ap,22,00092
nf,af,22,00092
nf,az,22,00092
nf,av,22,00092
nf,au,22,00092
nf,at,22,00092
nf,ao,22,00092
nf,ak,22,00092
nf,cy,22,00092
vm,di,22,00092
vm,de,22,00092
vm,cx,22,00092
vm,bc,22,00092
vm,as,22,00092
vm,aw,22,00092
vm,aj,22,00092
vm,am,22,00092
vm,ac,22,00092
vm,ab,22,00092
vm,ai,22,00092
vm,aa,22,00092
vm,ad,22,00092
vm,ah,22,00092
vm,ap,22,00092
vm,af,22,00092
vm,az,22,00092
vm,av,22,00092
vm,au,22,00092
vm,at,22,00092
vm,ao,22,00092
vm,ak,22,00092
vm,cy,22,00092
ap,di,04,00093
ap,bb,04,00093
ap,bk,04,00093
ap,cm,04,00093
ap,ba,04,00093
fm,di,04,00093
fm,bb,04,00093
fm,bk,04,00093
fm,cm,04,00093
fm,ba,04,00093
fs,di,04,00093
fs,bb,04,00093
fs,bk,04,00093
fs,cm,04,00093
fs,ba,04,00093
nf,di,04,00093
nf,bb,04,00093
nf,bk,04,00093
nf,cm,04,00093
nf,ba,04,00093
ap,di,01,00094
ap,cu,01,00094
ap,ar,01,00094
vm,di,01,00094
vm,cu,01,00094
vm,ar,01,00094
ap,di,15,00095
ap,cu,15,00095
ap,di,17,00096
ap,di,04,00096
ap,cw,17,00096
ap,cw,04,00096
ap,di,04,00097
ap,di,05,00098
ap,ah,05,00098
ap,cd,05,00098
ap,bt,05,00098
fm,di,05,00098
fm,ah,05,00098
fm,cd,05,00098
fm,bt,05,00098
nf,di,05,00098
nf,ah,05,00098
nf,cd,05,00098
nf,bt,05,00098
vm,di,05,00098
vm,ah,05,00098
vm,cd,05,00098
vm,bt,05,00098
ap,di,01,00099
ap,am,01,00099
ap,al,01,00099
ap,aa,01,00099
ap,af,01,00099
vm,di,01,00099
vm,am,01,00099
vm,al,01,00099
vm,aa,01,00099
vm,af,01,00099
ap,di,17,00100
ap,as,17,00100
ap,cu,17,00100
ap,ao,17,00100
vm,di,17,00100
vm,as,17,00100
vm,cu,17,00100
vm,ao,17,00100
ap,di,17,00101
ap,di,17,00102
ap,di,04,00103
ap,di,12,00104
ap,bd,12,00104
vm,di,12,00104
vm,bd,12,00104
ap,di,05,00105
ap,an,05,00105
vm,di,05,00105
vm,an,05,00105
ap,di,04,00106
ap,bb,04,00106
ap,aq,04,00106
nf,di,04,00106
nf,bb,04,00106
nf,aq,04,00106
vm,di,04,00106
vm,bb,04,00106
vm,aq,04,00106
ap,di,17,00107
ap,cl,17,00107
fs,di,17,00107
fs,cl,17,00107
ap,di,18,00108
ap,ai,18,00108
ap,cd,18,00108
ap,ca,18,00108
ap,cw,18,00108
ap,ak,18,00108
ap,dl,18,00108
gr,di,18,00108
gr,ai,18,00108
gr,cd,18,00108
gr,ca,18,00108
gr,cw,18,00108
gr,ak,18,00108
gr,dl,18,00108
nf,di,18,00108
nf,ai,18,00108
nf,cd,18,00108
nf,ca,18,00108
nf,cw,18,00108
nf,ak,18,00108
nf,dl,18,00108
vm,di,18,00108
vm,ai,18,00108
vm,cd,18,00108
vm,ca,18,00108
vm,cw,18,00108
vm,ak,18,00108
vm,dl,18,00108
ap,di,17,00109
ap,di,04,00109
ap,cw,17,00109
ap,cw,04,00109
ap,di,17,00110
ap,cu,17,00110
ap,di,14,00111
ap,di,01,00112
ap,cu,01,00112
ap,di,01,00113
ap,cu,01,00113
ap,di,17,00114
ap,di,01,00114
ap,cu,17,00114
ap,cu,01,00114
ap,di,17,00115
ap,di,01,00115
ap,cu,17,00115
ap,cu,01,00115
ap,di,01,00116
ap,cu,01,00116
ap,di,01,00117
ap,al,01,00117
ap,aa,01,00117
ap,cu,01,00117
vm,di,01,00117
vm,al,01,00117
vm,aa,01,00117
vm,cu,01,00117
ap,di,06,00118
ap,da,06,00118
ap,bq,06,00118
ap,ab,06,00118
ap,ae,06,00118
ap,ar,06,00118
nf,di,06,00118
nf,da,06,00118
nf,bq,06,00118
nf,ab,06,00118
nf,ae,06,00118
nf,ar,06,00118
vm,di,06,00118
vm,da,06,00118
vm,bq,06,00118
vm,ab,06,00118
vm,ae,06,00118
vm,ar,06,00118
ap,di,17,00119
ap,di,17,00120
ap,an,17,00120
ap,am,17,00120
ap,ac,17,00120
ap,ab,17,00120
ap,ai,17,00120
ap,aa,17,00120
ap,ad,17,00120
ap,ar,17,00120
ap,af,17,00120
ap,ak,17,00120
vm,di,17,00120
vm,an,17,00120
vm,am,17,00120
vm,ac,17,00120
vm,ab,17,00120
vm,ai,17,00120
vm,aa,17,00120
vm,ad,17,00120
vm,ar,17,00120
vm,af,17,00120
vm,ak,17,00120
ap,di,04,00121
ap,bk,04,00121
ap,cm,04,00121
fs,di,04,00121
fs,bk,04,00121
fs,cm,04,00121
nf,di,04,00121
nf,bk,04,00121
nf,cm,04,00121
ap,di,17,00122
ap,bk,17,00122
ap,an,17,00122
ap,ai,17,00122
ap,af,17,00122
ap,dh,17,00122
fs,di,17,00122
fs,bk,17,00122
fs,an,17,00122
fs,ai,17,00122
fs,af,17,00122
fs,dh,17,00122
nf,di,17,00122
nf,bk,17,00122
nf,an,17,00122
nf,ai,17,00122
nf,af,17,00122
nf,dh,17,00122
vm,di,17,00122
vm,bk,17,00122
vm,an,17,00122
vm,ai,17,00122
vm,af,17,00122
vm,dh,17,00122
ap,di,17,00123
ap,di,04,00123
ap,di,01,00123
ap,cm,17,00123
ap,cm,04,00123
ap,cm,01,00123
nf,di,17,00123
nf,di,04,00123
nf,di,01,00123
nf,cm,17,00123
nf,cm,04,00123
nf,cm,01,00123
ap,di,04,00124
ap,bm,04,00124
ap,ae,04,00124
ap,aq,04,00124
ph,di,04,00124
ph,bm,04,00124
ph,ae,04,00124
ph,aq,04,00124
vm,di,04,00124
vm,bm,04,00124
vm,ae,04,00124
vm,aq,04,00124
ap,di,04,00125
ap,di,04,00126
nf,cb,24,00127
nf,cb,23,00127
nf,cb,24,00128
nf,cb,23,00128
nf,cb,24,00129
nf,cb,24,00130
nf,aw,24,00130
vm,cb,24,00130
vm,aw,24,00130
nf,cb,24,00131
nf,cb,23,00131
nf,cb,24,00132
cs,cb,24,00133
cs,co,24,00133
cs,ad,24,00133
nf,cb,24,00133
nf,co,24,00133
nf,ad,24,00133
vm,cb,24,00133
vm,co,24,00133
vm,ad,24,00133
nf,cb,24,00134
nf,cb,24,00135
nf,cb,12,00135
nf,aa,24,00135
nf,aa,12,00135
vm,cb,24,00135
vm,cb,12,00135
vm,aa,24,00135
vm,aa,12,00135
nf,cb,24,00136
nf,bg,24,00136
nf,cb,24,00137
nf,bg,24,00137
nf,dp,24,00137
nf,cb,24,00138
nf,ad,24,00138
nf,ar,24,00138
vm,cb,24,00138
vm,ad,24,00138
vm,ar,24,00138
nf,cb,24,00139
nf,cb,24,00140
nf,bg,24,00140
nf,aa,24,00140
vm,cb,24,00140
vm,bg,24,00140
vm,aa,24,00140
nf,cb,24,00141
nf,cb,24,00142
nf,ad,24,00142
vm,cb,24,00142
vm,ad,24,00142
nf,cb,24,00143
nf,ap,24,00143
nf,ce,24,00143
ph,cb,24,00143
ph,ap,24,00143
ph,ce,24,00143
vm,cb,24,00143
vm,ap,24,00143
vm,ce,24,00143
ap,cb,23,00144
ap,cl,23,00144
ap,ay,23,00144
ap,dm,23,00144
ap,am,23,00144
ap,ab,23,00144
ap,al,23,00144
ap,ae,23,00144
ap,af,23,00144
ap,au,23,00144
ap,ak,23,00144
fs,cb,23,00144
fs,cl,23,00144
fs,ay,23,00144
fs,dm,23,00144
fs,am,23,00144
fs,ab,23,00144
fs,al,23,00144
fs,ae,23,00144
fs,af,23,00144
fs,au,23,00144
fs,ak,23,00144
nf,cb,23,00144
nf,cl,23,00144
nf,ay,23,00144
nf,dm,23,00144
nf,am,23,00144
nf,ab,23,00144
nf,al,23,00144
nf,ae,23,00144
nf,af,23,00144
nf,au,23,00144
nf,ak,23,00144
vm,cb,23,00144
vm,cl,23,00144
vm,ay,23,00144
vm,dm,23,00144
vm,am,23,00144
vm,ab,23,00144
vm,al,23,00144
vm,ae,23,00144
vm,af,23,00144
vm,au,23,00144
vm,ak,23,00144
nf,cb,24,00145
nf,cb,11,00145
nf,ad,24,00145
nf,ad,11,00145
vm,cb,24,00145
vm,cb,11,00145
vm,ad,24,00145
vm,ad,11,00145
cs,cb,24,00146
cs,co,24,00146
cs,ad,24,00146
nf,cb,24,00146
nf,co,24,00146
nf,ad,24,00146
vm,cb,24,00146
vm,co,24,00146
vm,ad,24,00146
nf,cb,24,00147
nf,cb,24,00148
nf,bg,24,00148
nf,cb,24,00149
nf,aa,24,00149
vm,cb,24,00149
vm,aa,24,00149
nf,cb,24,00150
nf,cb,24,00151
nf,cb,12,00151
nf,cb,11,00151
nf,aa,24,00151
nf,aa,12,00151
nf,aa,11,00151
nf,ad,24,00151
nf,ad,12,00151
nf,ad,11,00151
vm,cb,24,00151
vm,cb,12,00151
vm,cb,11,00151
vm,aa,24,00151
vm,aa,12,00151
vm,aa,11,00151
vm,ad,24,00151
vm,ad,12,00151
vm,ad,11,00151
nf,cb,24,00152
